Counter,Demand_el [MWh],Demand_th [MWh],Sol_irradiation [Wh/sqm],Wind_power [kW/unit]
205,3.577405264,20.39795918,18.64364033,2050
206,3.472106385,19.17755102,21.30701752,2050
207,3.353090072,19.27142857,13.31688595,2050
208,3.32251163,19.08367347,5.326754381,2050
209,3.433328258,19.08367347,0,2050
210,3.653862363,19.17755102,0,2038.762641
211,3.576459992,19.17755102,0,2029.044886
212,3.294812968,19.08367347,0,2050
213,2.916484425,19.08367347,0,1788.922478
214,2.61281037,19.08367347,0,1757.198785
215,2.280997992,18.52040816,0,966.1629761
216,1.948394224,18.05102041,0,442.7156407
217,1.579826162,16.73673469,0,195.6238585
218,1.440849227,15.70408163,0,161.2258937
219,1.304642159,15.14081633,0,1169.691042
220,1.272327054,15.04693878,0,1725.475091
221,1.285055248,15.42244898,0,2029.044886
222,1.284527654,15.04693878,0,1999.891619
223,1.381890648,15.51632653,0,1934.446882
224,1.692885064,15.51632653,0,1957.770801
225,2.080644341,15.89183673,32.70143297,1911.122963
226,2.37967997,16.45510204,13.31688595,2050
227,2.506170524,17.86326531,26.6337719,2050
228,2.654094566,17.95714286,18.64364033,2050
229,2.688058401,19.55306122,23.97039471,2050
230,2.541717139,20.21020408,55.930921,2050
231,2.40392729,20.39795918,18.64364033,2050
232,2.269632748,20.11632653,2.66337719,2050
233,2.381284733,19.92857143,0,2050
234,2.714921706,19.83469388,0,2050
235,2.730573648,20.02244898,0,2050
236,2.518964667,20.67959184,0,1841.151206
237,2.166422259,20.30408163,0,2050
238,1.969102271,18.98979592,0,2048.480397
239,1.91544161,18.89591837,0,2019.32713
240,1.634124332,16.54897959,0,1980.456108
241,1.299146392,15.79795918,0,1817.827287
242,1.07733727,15.89183673,0,1501.554844
243,0.96170635,17.58163265,0,1841.151206
244,0.917828153,17.58163265,0,1693.751398
245,0.947131578,17.39387755,0,1725.475091
246,0.912288421,17.6755102,0,1598.580318
247,0.838095577,18.98979592,0,1662.027705
248,0.996329677,19.83469388,0,1788.922478
249,1.297937324,20.11632653,13.31688595,1725.475091
250,1.60075404,20.02244898,67.44115998,1887.799044
251,1.928961195,20.21020408,65.03561551,2038.762641
252,2.208299997,20.21020408,230.873851,2009.609375
253,2.231030486,21.9,141.6414455,2009.609375
254,2.089283685,23.49591837,67.08159423,2050
255,2.004758802,25.65510204,103.5087049,2050
256,1.969300119,24.15306122,61.00775094,1934.446882
257,2.074906761,22.83877551,0,2038.762641
258,2.500147164,21.99387755,0,1999.891619
259,2.590805322,22.2755102,0,1957.770801
260,2.442001958,21.99387755,0,1841.151206
261,2.158948017,21.61836735,0,1841.151206
262,1.995174186,20.49183673,0,1757.198785
263,2.042108029,19.64693878,0,1999.891619
264,1.730432138,17.86326531,0,1864.475125
265,1.454302863,16.9244898,0,1864.475125
266,1.294398051,16.73673469,0,1693.751398
267,1.238539083,16.26734694,0,1335.158634
268,1.23170235,16.17346939,0,1169.691042
269,1.360918804,16.54897959,0,1390.624037
270,1.74636986,18.42653061,0,1446.08944
271,2.555126809,19.27142857,0,1224.227827
272,3.269400545,20.58571429,0,1279.69323
273,3.552850181,20.49183673,5.326754381,1725.475091
